Airport,Town,Latitude,Longitude,State,Pop_2010,Pop_2016,Pop_2015,Age_median,Companies,Graduates,Housings,Income,Foreigners,Poverty,Veterans
ORD,Chicago,41.9796,-87.9045,Illinois,2695598,2704958,2717534,33.7,291007,82.3,1192544,48522,572066,22.3,8284
LAS,Las Vegas,36.0852,-115.1507,Nevada,583756,632912,605097,36.9,55856,83.3,250279,50202,127458,17.5,45145
DEN,Denver,39.8589,-104.6733,Colorado,600158,69306,649654,34.1,79097,86.1,294191,53637,10437,17.3,32249
ATL,Atlanta,33.6410,-84.4226,Georgia,420003,472522,448901,33.4,64593,89.0,228579,47527,32701,24.6,20009
SFO,San Francisco,37.6218,-122.3790,California,805235,870887,840763,38.5,116803,87.0,383676,81294,295417,13.2,26401
EWR,New York,40.6971,-74.1756,New York,8175133,8537673,8426743,35.8,1050911,80.3,3422225,53373,3138169,20.6,178967
IAH,Houston,29.9869,-95.3421,Texas,2099451,2303482,2217706,32.6,260347,76.7,927107,46187,632743,22.5,78064
LAX,Los Angeles,33.9425,-118.4090,California,3792621,3976322,3900794,34.9,497999,75.5,1436543,50205,1489926,22.1,97236
DFW,Dallas,32.8959,-97.0372,Texas,1197816,1317929,1260688,32.4,142658,74.5,533556,43781,305921,24.0,467
SEA,Seattle,47.4490,-122.3093,Washington,60866,704352,653017,35.8,83323,93.4,31595,70594,118225,13.5,31945
JFK,New York,40.6398,-73.7787,New York,8175133,8537673,8426743,35.8,1050911,80.3,3422225,53373,3138169,20.6,178967
PHL,Philadelphia,39.8783,-75.2402,Pennsylvania,1526006,1567872,1555072,33.7,104439,82.0,670229,38253,197563,26.4,6659
MIA,Miami,25.7934,-80.2901,Florida,399457,453579,424632,39.4,98222,73.2,192067,31051,243317,28.3,6872
DTW,Detroit,42.2223,-83.3516,Michigan,713777,672795,690074,35.2,61868,78.3,365528,25764,37107,40.3,32596
BOS,Boston,42.3651,-71.0178,Massachusets,617594,673184,650281,31.6,59268,85.2,278521,55777,177563,21.5,1818
MSP,Minneapolis,44.8822,-93.2083,Minnesota,382578,413651,39995,31.9,44702,88.6,180989,5148,61918,21.9,16133
CLT,Charlotte,35.2207,-80.9441,North Carolina,731424,842051,792137,33.7,81973,88.4,333257,53637,124408,16.8,37552
MCO,Orlando,28.4310,-81.3077,Florida,2383,277173,256738,33.1,37544,89.5,123916,42318,46892,20.2,1189
PHX,Phoenix,33.4355,-111.9981,Arizona,1445632,1615017,1514208,33.2,124033,80.7,598236,47326,303364,23.1,74708
LGA,New York,40.7761,-73.8727,New York,8175133,8537673,8426743,35.8,1050911,80.3,3422225,53373,3138169,20.6,178967

